time,CWND
78.858963,1.00
78.859105,1.00
78.869306,1.00
78.870957,2.00
78.884265,1.00
79.872549,1.00
79.872726,1.00
79.883918,1.00
79.884915,2.00
79.886971,2.50
79.895213,3.00
80.885786,1.00
80.886059,1.00
80.895341,1.00
80.895504,1.00
81.886977,1.00
81.887171,1.00
81.895360,1.00
81.895457,1.00
81.906774,2.00
81.920575,2.50
81.921783,3.00
82.158366,1.00
82.170362,2.00
82.296679,1.00
82.486919,1.00
82.498723,2.00
82.512935,2.50
82.526285,3.00
83.055629,1.00
83.067382,2.00
83.526033,1.00
84.068605,1.00
84.068804,1.00
84.080498,2.00
85.082417,1.00
85.082579,1.00
85.082653,1.00
85.094355,2.00
85.106820,2.50
85.120592,3.00
85.120715,3.50
85.134722,4.00
85.135819,4.50
85.147482,5.00
85.149934,5.50
85.151044,6.00
85.158891,6.50
85.159125,7.00
85.164201,7.50
85.382270,1.00
85.505048,1.00
85.678218,1.00
85.937303,1.00
86.164822,1.00
86.165004,1.00
86.165091,1.00
86.165180,1.00
86.175899,2.00
86.180001,2.50
86.188242,3.00
86.192553,3.50
86.205167,4.00
86.219455,4.50
86.220190,5.00
86.231436,5.50
86.232459,6.00
86.232551,6.50
86.246340,7.00
86.248442,7.50
86.249536,8.00
86.282873,1.00
86.294619,2.00
86.321915,1.00
86.341819,2.00
86.354587,2.50
86.354770,3.00
86.368237,3.50
86.369161,4.00
86.560962,1.00
86.677375,1.00
86.831443,1.00
87.062947,1.00
87.369291,1.00
87.380805,2.00
88.382616,1.00
88.382801,1.00
88.382865,1.00
88.394251,2.00
89.384606,1.00
89.384768,1.00
89.394010,1.00
89.396200,2.00
90.394598,1.00
90.395792,1.00
90.395868,1.00
90.406078,2.00
91.396777,1.00
91.396959,1.00
91.406182,1.00
91.410841,2.00
92.408068,1.00
92.410354,1.00
92.410498,1.00
92.421903,2.00
92.437035,2.50
92.438023,3.00
92.448784,3.50
92.450611,4.00
92.452791,4.50
92.572148,1.00
92.649894,1.00
92.661776,2.00
92.751712,1.00
92.901812,1.00
92.916654,2.00
92.929949,2.50
92.942217,3.00
92.954632,3.50
92.956728,4.00
92.957924,4.50
93.274511,1.00
93.451957,1.00
93.468711,2.00
93.958528,1.00
94.470346,1.00
94.470474,1.00
94.482589,2.00
95.471932,1.00
95.482143,1.00
95.482264,1.00
95.483217,2.00
96.485005,1.00
96.485177,1.00
96.485293,1.00
96.499908,2.00
97.501158,1.00
97.501397,1.00
97.501472,1.00
97.513453,2.00
98.514827,1.00
98.515027,1.00
98.515201,1.00
98.526810,2.00
98.540561,2.50
99.493736,1.00
99.505504,2.00
99.526797,1.00
99.540046,1.00
99.541772,2.00
100.506903,1.00
100.519270,2.00
100.541606,1.00
101.520887,1.00
101.521081,1.00
101.535618,2.00
101.550239,2.50
101.552262,3.00
101.562191,3.50
101.565267,4.00
101.566280,4.50
102.109579,1.00
102.396300,1.00
102.412522,2.00
102.564833,1.00
102.566008,1.00
102.579362,2.00
103.414028,1.00
103.425825,2.00
103.579145,1.00
103.579315,1.00
104.427192,1.00
104.578674,1.00
104.578852,1.00
104.589912,2.00
105.592056,1.00
105.592151,1.00
105.592176,1.00
106.592978,1.00
106.593114,1.00
106.593162,1.00
106.603529,2.00
106.605674,2.50
107.604119,1.00
107.605362,1.00
107.605514,1.00
107.616290,2.00
107.618386,2.50
107.629912,3.00
107.630997,3.50
107.642461,4.00
107.642656,4.50
108.445295,1.00
108.630752,1.00
108.642047,1.00
108.642203,1.00
108.642282,1.00
108.653621,2.00
109.655330,1.00
109.655421,1.00
109.655447,1.00
109.666827,2.00
110.668505,1.00
110.668714,1.00
110.668826,1.00
111.669390,1.00
111.669576,1.00
111.669623,1.00
111.681374,2.00
111.697429,2.50
111.712165,3.00
111.724996,3.50
111.726049,4.00
111.738273,4.50
111.739165,5.00
111.753477,5.50
111.753718,6.00
111.908271,1.00
111.919925,2.00
112.051260,1.00
112.199664,1.00
112.422702,1.00
112.434523,2.00
113.435954,1.00
113.436105,1.00
113.436172,1.00
113.451773,2.00
114.453736,1.00
114.453907,1.00
114.453994,1.00
115.455206,1.00
115.455369,1.00
115.455451,1.00
115.467481,2.00
116.468859,1.00
116.469042,1.00
116.469112,1.00
116.481607,2.00
116.494608,2.50
117.482406,1.00
117.494768,1.00
117.494934,1.00
117.506383,2.00
117.519978,2.50
118.508103,1.00
118.508313,1.00
118.519582,1.00
118.520046,2.00
119.521367,1.00
119.521537,1.00
119.521628,1.00
119.533836,2.00
120.522948,1.00
120.523102,1.00
120.533350,1.00
121.524666,1.00
121.524833,1.00
121.533021,1.00
121.544792,2.00
121.558812,2.50
121.571336,3.00
121.583825,3.50
121.586952,4.00
121.596380,4.50
121.600321,5.00
121.603395,5.50
121.608823,6.00
121.937472,1.00
122.111946,1.00
122.126853,2.00
122.366493,1.00
122.378460,2.00
122.602927,1.00
122.603110,1.00
122.608407,1.00
122.608593,1.00
122.620150,2.00
122.635143,2.50
122.926265,1.00
123.077692,1.00
123.089348,2.00
123.321305,1.00
123.337206,2.00
123.350111,2.50
123.351828,3.00
123.363732,3.50
123.785918,1.00
124.001974,1.00
124.338653,1.00
124.364070,1.00
124.375982,2.00
124.390512,2.50
124.770269,1.00
124.966194,1.00
125.275745,1.00
125.770528,1.00
125.782619,2.00
125.796770,2.50
126.103366,1.00
126.115368,2.00
126.348991,1.00
126.944900,1.00
127.116351,1.00
127.349068,1.00
127.944338,1.00
127.956130,2.00
128.957433,1.00
128.957715,1.00
128.957814,1.00
129.959039,1.00
129.959209,1.00
129.959282,1.00
129.970996,2.00
129.974413,2.50
129.983938,3.00
129.996999,3.50
129.998002,4.00
130.010173,4.50
130.013629,5.00
130.026323,5.50
130.209815,1.00
130.221711,2.00
130.306988,1.00
130.323055,2.00
130.473879,1.00
130.716445,1.00
131.025990,1.00
131.474703,1.00
131.486692,2.00
132.488053,1.00
132.488206,1.00
132.488282,1.00
132.504525,2.00
132.516436,2.50
133.505166,1.00
133.505366,1.00
133.516620,1.00
133.517252,2.00
133.530418,2.50
133.531274,3.00
133.543433,3.50
133.855513,1.00
133.866845,2.00
134.018389,1.00
134.261913,1.00
134.273545,2.00
135.275008,1.00
135.275207,1.00
135.275280,1.00
135.287167,2.00
135.290199,2.50
136.276416,1.00
136.286750,1.00
136.288129,2.00
136.289343,1.00
137.289574,1.00
137.289765,1.00
137.289867,1.00
138.290573,1.00
138.290759,1.00
138.290834,1.00
139.292057,1.00
139.292250,1.00
139.292323,1.00
140.293284,1.00
140.293404,1.00
140.293438,1.00
140.305143,2.00
141.306554,1.00
141.306666,1.00
141.306691,1.00
142.306975,1.00
142.307163,1.00
142.307242,1.00
142.318627,2.00
143.319969,1.00
143.320155,1.00
143.320236,1.00
143.336151,2.00
143.336244,2.50
144.337457,1.00
144.337631,1.00
144.337692,1.00
144.351887,2.00
145.353286,1.00
145.353372,1.00
145.353390,1.00
145.363927,2.00
145.375988,2.50
146.365256,1.00
146.365432,1.00
146.375604,1.00
146.376678,2.00
146.379673,2.50
147.376824,1.00
147.376988,1.00
147.379219,1.00
147.390693,2.00
148.392107,1.00
148.392260,1.00
148.392329,1.00
148.408391,2.00
148.408604,2.50
149.409835,1.00
149.410000,1.00
